Pares,FrEstC,IDP,IDI,Ed,Esc,Gra,ApEs,BoolEs,FrEs,StEs,LEs,ApGen,BoolGen,FrGen,StGen,LGen,Face,FrFace,SF,LF,SFBool
acoso y golpes,4,2,272,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
futuro y metas,12,3,372,14,8,2,0,false,0,0,0,1,true,3,0.3,494,1,3,0.3,494,1.3
futuro y estudios,7,3,233,13,8,2,1,true,1,0.15,1188,1,true,1,0.7,20454,1,2,0.425,10821,1.425
futuro y familia,6,3,244,13,8,2,1,true,1,0,14259,1,true,40,0.0703125,296,1,41,0.068597561,637,1.068597561
emociones y sentimientos,16,4,537,14,8,2,0,false,0,0,0,1,true,1,0,55,1,1,0,55,1
emociones y felicidad,9,4,247,13,8,2,0,false,0,0,0,1,true,2,0,13,1,2,0,13,1
emociones y amor,6,4,43,13,8,2,1,true,1,-0.8,31956,1,true,1,0,15,1,2,-0.4,15985,0.6
drogas y adicción,15,5,18,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
drogas y peligro,6,5,442,14,8,2,0,false,0,0,0,1,true,2,0.09375,228,1,2,0.09375,228,1.09375
drogas y adolescentes,5,5,21,14,8,2,0,false,0,0,0,1,true,1,0.5,16777,1,1,0.5,16777,1.5
alcohol y fiesta,16,6,254,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
alcohol y diversión,4,6,205,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
alcohol y cruda,3,6,165,14,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
fiesta y diversión,18,7,205,13,8,2,0,false,0,0,0,1,true,5,0,13,1,5,0,13,1
fiesta y alcohol,13,7,26,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
fiesta y música,6,7,388,13,8,2,1,true,3,0,26437,1,true,30,0.008939394,152,1,33,0.008126722,2542,1.008126722
"novio, novia y desconfianza",9,8,183,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
"novio, novia y tóxica",9,8,578,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
"novio, novia y amor",8,8,43,13,8,2,1,true,5,0,5622,1,true,6,0.083333333,402,1,11,0.045454545,2775,1.045454545
sexo y condón,8,9,135,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
sexo y hijos,8,9,294,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
sexo y bebé,6,9,71,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
autoestima y baja,22,10,69,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
autoestima y alta,4,10,32,13,8,2,0,false,0,0,0,1,true,1,0,18,1,1,0,18,1
autoestima y amor propio,4,10,44,13,8,2,0,false,0,0,0,0,false,0,0,0,0,0,0,0,1
tecnología y celular,11,11,109,13,8,2,0,false,0,0,0,1,true,7,0.001428571,86,1,7,0.001428571,86,1.001428571
